"filename", "language", "Markdown", "Go Checksum File", "Go", "Go Module File", "XML", "JSON", "comment", "blank", "total"
"e:\goland\project\awesomeProxy\balance\random_balance.go", "Go", 0, 0, 20, 0, 0, 0, 1, 7, 28
"e:\goland\project\awesomeProxy\balance\round_robin_balance.go", "Go", 0, 0, 23, 0, 0, 0, 1, 9, 33
"e:\goland\project\awesomeProxy\balance\shuffle2_balance.go", "Go", 0, 0, 26, 0, 0, 0, 2, 9, 37
"e:\goland\project\awesomeProxy\balance\shuffle_balance.go", "Go", 0, 0, 26, 0, 0, 0, 2, 9, 37
"e:\goland\project\awesomeProxy\balance\weight_round_robin.go", "Go", 0, 0, 65, 0, 0, 0, 4, 15, 84
"e:\goland\project\awesomeProxy\config.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 23
"e:\goland\project\awesomeProxy\config\ConfigInit.go", "Go", 0, 0, 170, 0, 0, 0, 8, 14, 192
"e:\goland\project\awesomeProxy\go.mod", "Go Module File", 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\goland\project\awesomeProxy\go.sum", "Go Checksum File", 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\goland\project\awesomeProxy\main.go", "Go", 0, 0, 90, 0, 0, 0, 13, 5, 108
"Total", "-", 83, 4, 4906, 6, 29, 23, 953, 751, 6755
